10_MIN_BLOCK,AGE_CODE,REGION,B_LOCATION_DESCRIPTION,BAND_NUM,BAND_SIZE_CODE,BAND_STATUS_CODE,BAND_TYPE_CODE,BANDING_DATE,BANDING_DAY,BANDING_MONTH,BANDING_YEAR,BANDIT_LOCATION_ID,BIRD_STATUS,B_MARKER_LONG_DESC,COMMENTS,COORD_PRECISION,COUNTRY_CODE,DIRECTION_CODE,ERRORS_COMMENTS_DESC,EXTRA_INFO_CODE,FLYWAY_CODE,HOW_AGED_CODE,HOW_SEXED_CODE,LAT_10_MIN_BLK,LAT_DECIMAL_DEGREES,LOCATION_ID,LON_10_MIN_BLK,LON_DECIMAL_DEGREES,ORIGINAL_BAND,OTHER_BANDS,PERMIT_NUM,REMARKS,SEX_CODE,SPECIES_ID,SPECIES_NAME,STATE_CODE,BILL_HEIGHT,BILL_LENGTH,BILL_WIDTH,BIRD_WEIGHT,BLOOD_SAMPLE_TAKEN,CULMEN_LENGTH,FAT_SCORE,FEATHER_SAMPLE_TAKEN,GENETIC_SAMPLE_TAKEN,TAIL_LENGTH,TARSUS_LENGTH,WEIGHT_TIME,WING_CHORD,Count
4120775,6,72,"7 mi W from Cross Fork(7 mi. W Cross Fork, Potter Co., PA), Potter County Pennsylvania, United States (Bandit ID: HAMMERS)",219068206,0,0,1,5/25/15,25,5,2015,HAMMERS,3,,,0,US,0,,0,1,,,412,41.47861,193473,775,-77.95417,219068206,,22918,,4,6620,Blackburnian Warbler,42,,,,9.8,,11,0,,,47,18,0:00:00,69,7
4350692,5,44,"2 mi S from Bremen(Hog Island, 2 mi. S Bremen, Lincoln Co., ME), Lincoln County Maine, United States (Bandit ID: HOGI)",219068186,0,0,1,6/15/15,15,6,2015,HOGI,3,,,0,US,0,,0,1,LP,PL,435,43.97889,193470,692,-69.41639,219068186,,22918,,4,6620,Blackburnian Warbler,23,,,,9.7,,10,0,,,45,16,0:00:00,65,7
4350692,5,44,"2 mi S from Bremen(Hog Island, 2 mi. S Bremen, Lincoln Co., ME), Lincoln County Maine, United States (Bandit ID: HOGI)",219068200,0,0,1,6/24/16,24,6,2016,HOGI,3,,,0,US,0,,0,1,,,435,43.97889,193470,692,-69.41639,219068200,,22918,,4,6620,Blackburnian Warbler,23,,,,9.6,,9,0,,,47,17,0:00:00,68,7
4100745,6,72,"1.5 mi E from Bushkill(Delaware Water Gap NRA), Monroe County Pennsylvania, United States (Bandit ID: DEWA)",283021321,0A,0,41,6/15/17,15,6,2017,DEWA,3,,,10,US,0,,0,1,NL,PL,410,41.08333,309446,745,-74.91667,283021321,,24089,,4,6620,Blackburnian Warbler,42,,,,9.6,N,,1,N,,50,,0:00:00,69,7
4420680,1,44,"Winter Harbor(Schoodic), Hancock County Maine, United States (Bandit ID: SERC)",270062559,0,0,41,9/3/16,3,9,2016,SERC,3,,,0,US,0,,0,1,PL,PL,442,44.34389,233497,680,-68.05528,270062559,,23613,,5,6620,Blackburnian Warbler,23,,8.44,,9.6,,10.52,.,,,,18.17,6:40:00,64.5,7
4600893,5,91,"4.7 mi NW from Sayner(Big Muskelunge Lake), Vilas County Wisconsin, United States (Bandit ID: BML)",231032924,0A,0,1,7/5/13,5,7,2013,BML,3,,,1,US,0,,0,2,PL,PL,460,46.025,297513,893,-89.60833,231032924,,23298,,4,6620,Blackburnian Warbler,55,,,,9,,10.74,0,,,49,,0:00:00,67,6
4430724,2,87,"Underhill(Mt. Mansfield), Chittenden County Vermont, United States (Bandit ID: MANS)",222096829,0,0,1,7/21/15,21,7,2015,MANS,3,,,0,US,0,,0,1,PL,,443,44.52833,280878,724,-72.81583,222096829,,23541,BLBW juv prob female,0,6620,Blackburnian Warbler,50,,,,8.9,,,0,,,48,,0:00:00,64,5
3910821,2,66,"4 mi WNW from Albany(4 mi. WNW Albany,(4 Mi. WNW Albany,  Athens Co., Oh) Athens COunty Ohio, United States), Athens County Ohio, United States (Bandit ID: KX)",275038964,0,0,41,9/5/16,5,9,2016,KX,3,,,0,US,0,,0,2,LP,PL,391,39.23528,276086,821,-82.27444,275038964,,21776,,5,6620,Blackburnian Warbler,39,,,,8.9,,,0,,,44,,0:00:00,61,5
3910821,2,66,"4 mi WNW from Albany(4 mi. WNW Albany,(4 Mi. WNW Albany,  Athens Co., Oh) Athens COunty Ohio, United States), Athens County Ohio, United States (Bandit ID: KX)",281000117,0,0,41,9/26/16,26,9,2016,KX,3,,,0,US,0,,0,2,LP,,391,39.23528,276086,821,-82.27444,281000117,,21776,,0,6620,Blackburnian Warbler,39,,,,8.7,,,0,,,46,,0:00:00,64,5
4720905,5,50,"6 mi SW from Schroeder(Sugarloaf Cove Nature Center), Cook County Minnesota, United States (Bandit ID: SUGAR)",270073356,0,0,41,6/8/14,8,6,2014,SUGAR,3,,M,1,US,0,,0,2,PL,PL,472,47.49167,305855,905,-90.85833,270073356,,21260,,5,6620,Blackburnian Warbler,27,,,,10,,,0,,,57,,0:00:00,63,5
4720905,2,50,"6 mi SW from Schroeder(Sugarloaf Cove Nature Center), Cook County Minnesota, United States (Bandit ID: SUGAR)",270073373,0,0,41,8/7/14,7,8,2014,SUGAR,3,,M,1,US,0,,0,2,SK,PL,472,47.49167,305855,905,-90.85833,270073373,,21260,,5,6620,Blackburnian Warbler,27,,,,9,,,0,,,48,,0:00:00,63,5
4720905,2,50,"6 mi SW from Schroeder(Sugarloaf Cove Nature Center), Cook County Minnesota, United States (Bandit ID: SUGAR)",270073374,0,0,41,8/7/14,7,8,2014,SUGAR,3,,M,1,US,0,,0,2,SK,PL,472,47.49167,305855,905,-90.85833,270073374,,21260,,5,6620,Blackburnian Warbler,27,,,,10,,,0,,,49,,0:00:00,61,5
4720905,1,50,"6 mi SW from Schroeder(Sugarloaf Cove Nature Center), Cook County Minnesota, United States (Bandit ID: SUGAR)",270073381,0,0,41,8/14/14,14,8,2014,SUGAR,3,,M,1,US,0,,0,2,SK,BP,472,47.49167,305855,905,-90.85833,270073381,,21260,,5,6620,Blackburnian Warbler,27,,,,10,,,0,,,49,,0:00:00,66,5
4230824,2,49,"1.5 mi E from Harrison Twp.(Lake St. Clair Metropark (Meadow Loop)), Macomb County Michigan, United States (Bandit ID: LSCMP)",255099906,0A,0,1,9/4/16,4,9,2016,LSCMP,3,,,0,US,0,,0,2,,,423,42.57917,275596,824,-82.8025,255099906,,23156,,4,6620,Blackburnian Warbler,26,,,,10.1,,,1,,,51,,7:50:00,68,5
4230824,5,49,"1.5 mi E from Harrison Twp.(Lake St. Clair Metropark (Meadow Loop)), Macomb County Michigan, United States (Bandit ID: LSCMP)",276011187,0A,0,41,5/29/16,29,5,2016,LSCMP,3,,,0,US,0,,0,2,,,423,42.57917,275596,824,-82.8025,276011187,,23156,,5,6620,Blackburnian Warbler,26,,,,9.9,,,2,,,47,,13:09:00,63,5
4430724,2,87,"Underhill(Mt. Mansfield), Chittenden County Vermont, United States (Bandit ID: MANS)",249089590,0,0,1,7/24/14,24,7,2014,MANS,3,,M,0,US,0,,0,1,PL,,443,44.52833,280878,724,-72.81583,249089590,,23541,BLBW tail length indicates male,0,6620,Blackburnian Warbler,50,,,,9.1,,,0,,,50,,0:00:00,66,5
4600883,5,49,"Iron River(bible camp 5 mi SW Iron River MI), Iron County Michigan, United States (Bandit ID: CP)",135049148,0,0,11,6/7/11,7,6,2011,CP,3,,,0,US,0,,0,2,PL,PL,460,46.09167,297113,883,-88.64167,135049148,,21781,,5,6620,Blackburnian Warbler,26,,,,10,,11,,,,44,,0:00:00,64,5
4600883,1,49,"Iron River(bible camp 5 mi SW Iron River MI), Iron County Michigan, United States (Bandit ID: CP)",135049149,0,0,11,6/7/11,7,6,2011,CP,3,,,0,US,0,,0,2,,PL,460,46.09167,297113,883,-88.64167,135049149,,21781,,4,6620,Blackburnian Warbler,26,,,,11.5,,10,,,,45,,0:00:00,68,5
4600883,6,49,"Iron River(bible camp 5 mi SW Iron River MI), Iron County Michigan, United States (Bandit ID: CP)",261046901,0,0,41,5/28/13,28,5,2013,CP,3,,,0,US,0,,0,2,,,460,46.09167,297113,883,-88.64167,261046901,,21781,,5,6620,Blackburnian Warbler,26,,,,9,,9,,,,44,,0:00:00,63,5
4600883,6,49,"Iron River(bible camp 5 mi SW Iron River MI), Iron County Michigan, United States (Bandit ID: CP)",261046902,0,0,41,5/28/13,28,5,2013,CP,3,,,0,US,0,,0,2,,,460,46.09167,297113,883,-88.64167,261046902,,21781,,4,6620,Blackburnian Warbler,26,,,,9,,11,,,,35,,0:00:00,63,5
4320802,2,68,".3 mi S from Cambridge(Rare Research Reserve barn), Ontario, Canada (Bandit ID: RBARN)",279057772,0A,0,41,9/14/16,14,9,2016,RBARN,3,,,0,CA,0,,0,6,PL,NA,432,43.38111,273374,802,-80.35611,279057772,,10523,recently fledged; still has fluffy look,0,6620,Blackburnian Warbler,8,,,,8.7,,,0,,,43,,9:35:00,60,5
4650920,1,50,"Duluth(Hawk Ridge Station), Saint Louis County Minnesota, United States (Bandit ID: HRIDGE)",259043477,0,0,41,8/1/16,1,8,2016,HRIDGE,3,,,1,US,0,,0,2,PL,BP,465,46.84167,288528,920,-92.04167,259043477,,23927,"RL p4 1/4, p2,3 3/4",5,6620,Blackburnian Warbler,27,,,,9.4,,,0,-,,,,0:00:00,64,5
4430724,2,87,"Underhill(Mt. Mansfield), Chittenden County Vermont, United States (Bandit ID: MANS)",254059168,0,0,1,7/28/16,28,7,2016,MANS,3,,,0,US,0,,0,1,PL,,443,44.52833,280878,724,-72.81583,254059168,,23541,,0,6620,Blackburnian Warbler,50,,,,9.1,,,0,,,48,,0:00:00,65,5
4720905,2,50,"6 mi SW from Schroeder(Sugarloaf Cove Nature Center), Cook County Minnesota, United States (Bandit ID: SUGAR)",270073579,0,0,41,8/6/15,6,8,2015,SUGAR,3,,Applied ISC 21260_201703030939BB v4; M,1,US,0,,0,2,SK,PL,472,47.49167,305855,905,-90.85833,270073579,,21260,,5,6620,Blackburnian Warbler,27,,,,10,,,0,,,41,,0:00:00,63,5
4720905,6,50,"6 mi SW from Schroeder(Sugarloaf Cove Nature Center), Cook County Minnesota, United States (Bandit ID: SUGAR)",267056194,0A,0,41,7/10/14,10,7,2014,SUGAR,3,,M,1,US,0,,0,2,PL,CL,472,47.49167,305855,905,-90.85833,267056194,,21260,,4,6620,Blackburnian Warbler,27,,,,10,,,0,,,50,,0:00:00,69,5
4240842,1,49,"Bath, MI(Burke Lake Station at Rose Lake), Shiawassee County Michigan, United States (Bandit ID: BULA)",277028817,0A,0,41,9/28/15,28,9,2015,BULA,3,,,10,US,0,,0,2,SK,PL,424,42.75,273977,842,-84.41667,277028817,,23629,,5,6620,Blackburnian Warbler,26,,,,10.3,,,3,,,,,9:10:00,69,4
4130790,2,72,"4.8 mi S from Cherry Grove(large clearcut of Minister Rd on Allegheny NF), Warren County Pennsylvania, United States (Bandit ID: GRASS)",272058545,0,0,41,9/4/15,4,9,2015,GRASS,3,,,0,US,0,,0,1,PL,PL,413,41.63889,269154,790,-79.15139,272058545,,23277,,5,6620,Blackburnian Warbler,42,,,,8.4,,,,,,46,,0:00:00,61,4
4130790,2,72,"4.8 mi S from Cherry Grove(large clearcut of Minister Rd on Allegheny NF), Warren County Pennsylvania, United States (Bandit ID: GRASS)",272058557,0,0,41,9/4/15,4,9,2015,GRASS,3,,,0,US,0,,0,1,PL,PL,413,41.63889,269154,790,-79.15139,272058557,,23277,,5,6620,Blackburnian Warbler,42,,,,8.6,,,,,,46,,0:00:00,65,4
4240842,2,49,"Bath, MI(Burke Lake Station at Rose Lake), Shiawassee County Michigan, United States (Bandit ID: BULA)",277064232,0A,0,41,8/31/15,31,8,2015,BULA,3,,,10,US,0,,0,2,SK,PL,424,42.75,273977,842,-84.41667,277064232,,23629,DM,4,6620,Blackburnian Warbler,26,,,,9.9,,,2,,,,,7:52:00,62,4
4240842,2,49,"Bath, MI(Burke Lake Station at Rose Lake), Shiawassee County Michigan, United States (Bandit ID: BULA)",277064242,0A,0,41,8/31/15,31,8,2015,BULA,3,,,10,US,0,,0,2,SK,PL,424,42.75,273977,842,-84.41667,277064242,,23629,,4,6620,Blackburnian Warbler,26,,,,9.4,,,1,,,,,9:14:00,67,4
4240842,2,49,"Bath, MI(Burke Lake Station at Rose Lake), Shiawassee County Michigan, United States (Bandit ID: BULA)",277064264,0A,0,41,8/31/15,31,8,2015,BULA,3,,,10,US,0,,0,2,SK,PL,424,42.75,273977,842,-84.41667,277064264,,23629,,4,6620,Blackburnian Warbler,26,,,,9.8,,,1,,,,,10:49:00,65,4
4110713,1,77,"New Shoreham(Lapham Banding Station,Clay Head off Corn Neck Road), Washington County Rhode Island, United States (Bandit ID: 1)",271049177,0,0,41,5/12/14,12,5,2014,1,3,,,0,US,0,,0,1,,PL,411,41.20917,292497,713,-71.55861,271049177,,9636,,4,6620,Blackburnian Warbler,44,,,,11.4,,,3,,,,,0:00:00,66,4
