10_MIN_BLOCK,AGE_CODE,REGION,B_LOCATION_DESCRIPTION,BAND_NUM,BAND_SIZE_CODE,BAND_STATUS_CODE,BAND_TYPE_CODE,BANDING_DATE,BANDING_DAY,BANDING_MONTH,BANDING_YEAR,BANDIT_LOCATION_ID,BIRD_STATUS,B_MARKER_LONG_DESC,COMMENTS,COORD_PRECISION,COUNTRY_CODE,DIRECTION_CODE,ERRORS_COMMENTS_DESC,EXTRA_INFO_CODE,FLYWAY_CODE,HOW_AGED_CODE,HOW_SEXED_CODE,LAT_10_MIN_BLK,LAT_DECIMAL_DEGREES,LOCATION_ID,LON_10_MIN_BLK,LON_DECIMAL_DEGREES,ORIGINAL_BAND,OTHER_BANDS,PERMIT_NUM,REMARKS,SEX_CODE,SPECIES_ID,SPECIES_NAME,STATE_CODE,BILL_HEIGHT,BILL_LENGTH,BILL_WIDTH,BIRD_WEIGHT,BLOOD_SAMPLE_TAKEN,CULMEN_LENGTH,FAT_SCORE,FEATHER_SAMPLE_TAKEN,GENETIC_SAMPLE_TAKEN,TAIL_LENGTH,TARSUS_LENGTH,WEIGHT_TIME,WING_CHORD,count
4501085,1,53,"3 mi SE from Belfry(3 miles se of Belfry), Carbon County Montana, United States (Bandit ID: COONSAGE)",273030826,0,0,41,5/20/15,20,5,2015,COONSAGE,3,,,0,US,0,,0,3,PL,PL,450,45.11694,256947,1085,-108.99528,273030826,,22569,,4,6560,Audubon's Warbler,30,3.47,7.77,3.57,14.4,,,,,,58,19.1,0:00:00,80,8
4501085,1,53,"3 mi SE from Belfry(3 miles se of Belfry), Carbon County Montana, United States (Bandit ID: COONSAGE)",273030827,0,0,41,5/20/15,20,5,2015,COONSAGE,3,,,0,US,0,,0,3,PL,PL,450,45.11694,256947,1085,-108.99528,273030827,,22569,,4,6560,Audubon's Warbler,30,3.54,7.75,3.93,14.5,,,,,,56,19.26,0:00:00,74,8
4501085,1,53,"3 mi SE from Belfry(3 miles se of Belfry), Carbon County Montana, United States (Bandit ID: COONSAGE)",273030828,0,0,41,5/20/15,20,5,2015,COONSAGE,3,,,0,US,0,,0,3,PL,PL,450,45.11694,256947,1085,-108.99528,273030828,,22569,,4,6560,Audubon's Warbler,30,3.79,8.17,4.32,15.1,,,,,,58,18.83,0:00:00,76,8
4531224,5,69,"3 mi NNW from Linton(Wapato State Access Area Sauvie Island), Multnomah County Oregon, United States (Bandit ID: WAPA)",208080997,0A,0,4,5/3/17,3,5,2017,WAPA,3,,,1,US,0,,0,4,PC,CL,453,45.64167,307475,1224,-122.80833,208080997,,22230,,4,6560,Audubon's Warbler,41,,6.4,,13,,,,,,54,20.3,0:00:00,70,6
4331160,2,33,"8 mi E from Boise(Lucky Peak), Ada County Idaho, United States (Bandit ID: LUCK)",278005039,0,0,41,9/21/15,21,9,2015,LUCK,3,,,0,US,0,,0,4,,,433,43.60583,300201,1160,-116.05972,278005039,,22929,VERY MALE FEATURES (BLACK IN COVERTS ETC) BUT THROAT LARGELY WHITE + HINT OF WHITE EYEBROW,4,6556,Unknown Yellow-rumped Warbler,16,,,,11.8,,,1,,,60,,0:00:00,74,5
4331160,2,33,"8 mi E from Boise(Lucky Peak), Ada County Idaho, United States (Bandit ID: LUCK)",278005049,0,0,41,9/21/15,21,9,2015,LUCK,3,,,0,US,0,,0,4,,,433,43.60583,300201,1160,-116.05972,278005049,,22929,MALE FEATURES (BLACK IN COVS ETC) BUT THROAT WHITE + HINT OF WHITE EYEBROW,4,6556,Unknown Yellow-rumped Warbler,16,,,,13.3,,,2,,,60,,0:00:00,77,5
3951044,1,17,"Brighton(Barr Lake State Park, Brighton), Adams County Colorado, United States (Bandit ID: BARR)",279052874,0A,0,41,10/11/16,11,10,2016,BARR,3,,,1,US,0,,0,3,,,395,39.94167,208774,1044,-104.74167,279052874,,22415,,0,6556,Unknown Yellow-rumped Warbler,8,,,,12.7,,,1,,,59,,0:00:00,76,5
4911224,5,11,"Port Coquitlam(Colony Farm Regional Park), British Columbia, Canada (Bandit ID: COFA)",274078386,0,0,41,4/9/16,9,4,2016,COFA,3,,,0,CA,0,,0,6,LP,PL,491,49.23917,259492,1224,-122.79833,274078386,,10720,INTEGRATED,5,6556,Unknown Yellow-rumped Warbler,2,,,,12.5,,,1,,,57,,11:12:00,72,5
4331160,2,33,"8 mi ENE from Boise(Lucky Peak), Ada County Idaho, United States (Bandit ID: IBO-)",282041704,0,0,41,10/7/16,7,10,2016,IBO-,3,,Moved remarks from 2820-41714 to this record per email with bander --jsm,0,US,0,,0,4,SK,PL,433,43.60583,303768,1160,-116.05972,282041704,,22929,POSSIBLE YELLOW RUMPED HYBRID: PRETTY PALE SUPERCILIUM BUT SOME YELLOW IN THROAT.  ALL SEXING CRITERIA POINT MALE EXCEPT FOR PALER THROAT. PHOTOS TAKEN.,4,6556,Unknown Yellow-rumped Warbler,16,,,,12.3,,,1,,,60,,0:00:00,75,5
4331160,2,33,"8 mi ENE from Boise(Lucky Peak), Ada County Idaho, United States (Bandit ID: IBO-)",282041242,0,0,41,9/20/16,20,9,2016,IBO-,3,,,0,US,0,,0,4,SK,PL,433,43.60583,303768,1160,-116.05972,282041242,,22929,SOME FEATURES OF BOTH,5,6556,Unknown Yellow-rumped Warbler,16,,,,12.1,,,3,,,55,,0:00:00,70,5
