10_MIN_BLOCK,AGE_CODE,REGION,B_LOCATION_DESCRIPTION,BAND_NUM,BAND_SIZE_CODE,BAND_STATUS_CODE,BAND_TYPE_CODE,BANDING_DATE,BANDING_DAY,BANDING_MONTH,BANDING_YEAR,BANDIT_LOCATION_ID,BIRD_STATUS,B_MARKER_LONG_DESC,COMMENTS,COORD_PRECISION,COUNTRY_CODE,DIRECTION_CODE,ERRORS_COMMENTS_DESC,EXTRA_INFO_CODE,FLYWAY_CODE,HOW_AGED_CODE,HOW_SEXED_CODE,LAT_10_MIN_BLK,LAT_DECIMAL_DEGREES,LOCATION_ID,LON_10_MIN_BLK,LON_DECIMAL_DEGREES,ORIGINAL_BAND,OTHER_BANDS,PERMIT_NUM,REMARKS,SEX_CODE,SPECIES_ID,SPECIES_NAME,STATE_CODE,BILL_HEIGHT,BILL_LENGTH,BILL_WIDTH,BIRD_WEIGHT,BLOOD_SAMPLE_TAKEN,CULMEN_LENGTH,FAT_SCORE,FEATHER_SAMPLE_TAKEN,GENETIC_SAMPLE_TAKEN,TAIL_LENGTH,TARSUS_LENGTH,WEIGHT_TIME,WING_CHORD,Count
2940845,6,25,"St. George Island(881 E Pine Ave), Franklin County Florida, United States (Bandit ID: SGI)",275089707,0,0,41,4/24/17,24,4,2017,SGI,3,,,1,US,0,,18,1,PC,PL,294,29.675,305871,845,-84.84167,275089707,,23979,,4,6520,Yellow Warbler,12,,8.08,4.05,9.14,Y,9.69,0,Y,,39,17.83,0:00:00,61,11
2940845,6,25,"St. George Island(881 E Pine Ave), Franklin County Florida, United States (Bandit ID: SGI)",275089719,0,0,41,5/6/17,6,5,2017,SGI,3,,,1,US,0,,0,1,PC,PL,294,29.675,305871,845,-84.84167,275089719,,23979,,5,6520,Yellow Warbler,12,,7.81,3.71,8.14,N,9.49,1,Y,,44,19.34,0:00:00,60,11
4451230,2,69,"Salem(Minto Island), Marion County Oregon, United States (Bandit ID: MINTO)",265000278,0,0,41,8/27/16,27,8,2016,MINTO,3,,,1,US,0,,18,4,PL,PL,445,44.90833,307189,1230,-123.09167,265000278,,23623,,4,6520,Yellow Warbler,41,,,,8.5,Y,,2,Y,,43,19,0:00:00,60,8
4451230,1,69,"Salem(Minto Island), Marion County Oregon, United States (Bandit ID: MINTO)",281094929,0,0,41,6/4/16,4,6,2016,MINTO,3,,,1,US,0,,18,4,PL,PL,445,44.90833,307189,1230,-123.09167,281094929,,23623,,4,6520,Yellow Warbler,41,,,,9.4,Y,,1,Y,,45,19,0:00:00,61,8
4010765,5,72,"Harrisburg(Wildwood Lake Sanctuary, Dauphin Co., PA), Dauphin County Pennsylvania, United States (Bandit ID: WILDWOOD)",219068091,0,0,1,5/5/15,5,5,2015,WILDWOOD,3,,,1,US,0,,0,1,,,401,40.30833,193468,765,-76.875,219068091,,22918,,5,6520,Yellow Warbler,42,,,,10.3,,10,2,,,38,18,0:00:00,58,7
4010765,6,72,"Harrisburg(Wildwood Lake Sanctuary, Dauphin Co., PA), Dauphin County Pennsylvania, United States (Bandit ID: WILDWOOD)",219068093,0,0,1,5/5/15,5,5,2015,WILDWOOD,3,,,1,US,0,,0,1,,,401,40.30833,193468,765,-76.875,219068093,,22918,,5,6520,Yellow Warbler,42,,,,10.3,,11,0,,,41,18,0:00:00,59,7
4010765,6,72,"Harrisburg(Wildwood Lake Sanctuary, Dauphin Co., PA), Dauphin County Pennsylvania, United States (Bandit ID: WILDWOOD)",219068095,0,0,1,5/5/15,5,5,2015,WILDWOOD,3,,,1,US,0,,0,1,,,401,40.30833,193468,765,-76.875,219068095,,22918,,4,6520,Yellow Warbler,42,,,,11.5,,11,0,,,44,20,0:00:00,61,7
4010765,5,72,"Harrisburg(Wildwood Lake Sanctuary, Dauphin Co., PA), Dauphin County Pennsylvania, United States (Bandit ID: WILDWOOD)",219068098,0,0,1,5/14/15,14,5,2015,WILDWOOD,3,,,1,US,0,,0,1,,,401,40.30833,193468,765,-76.875,219068098,,22918,,5,6520,Yellow Warbler,42,,,,9.5,,11,0,,,41,19,0:00:00,57,7
4150715,1,18,"1 mi NE from Pomfret(22 Harrisville Rd.), Windham County Connecticut, United States (Bandit ID: HARRIS)",187057001,0,0,11,5/14/16,14,5,2016,HARRIS,3,,,0,US,0,,0,1,CA,CL,415,41.91028,305181,715,-71.95389,187057001,,22284,,4,6520,Yellow Warbler,9,3.39,8.12,,10.6,,,,,,48.9,19.26,0:00:00,61.9,7
4700955,1,50,"Waubun(Waubun Prairie), Clearwater County Minnesota, United States (Bandit ID: WP)",238055930,0A,0,1,5/31/16,31,5,2016,WP,3,,,1,US,0,,0,2,,BP,470,47.125,279746,955,-95.975,238055930,,23623,,5,6520,Yellow Warbler,27,4,9,4,12,,,,,,,19,0:00:00,65,7
